Comparison Summary
Metric,Value
Total in Base Version,307
Total in Update Version,268
New Objects,60
Deprecated Objects,99

New Objects
Key,Class,DistName
FaultMgmt-1/CurrentAlarm-1,com.nokia.aiosc:CurrentAlarm,PLMN-PLMN/AIOSC-1/Device-1/FaultMgmt-1/CurrentAlarm-1
IP-1/Interface-1/IPv4Address-1,com.nokia.aiosc:IPv4Address,PLMN-PLMN/AIOSC-1/Device-1/IP-1/Interface-1/IPv4Address-1
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigAnrSpecific-1,com.nokia.aiosc:DrxConfigAnrSpecific,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigAnrSpecific-1
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1,com.nokia.aiosc:EUtranCellRelation,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1,com.nokia.aiosc:EUtranFreqRelation,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryEUtran-1,com.nokia.aiosc:BlackListEntryEUtran,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryEUtran-1
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryIdleModeEUtran-1,com.nokia.aiosc:BlackListEntryIdleModeEUtran,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryIdleModeEUtran-1
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1,com.nokia.aiosc:EUtranFrequency,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1/MultiBandInfoListEutra-1,com.nokia.aiosc:MultiBandInfoListEutra,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1/MultiBandInfoListEutra-1
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1,com.nokia.aiosc:MeasEutra,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1
