AIOSC Merge Report
Generated,2025-07-09T16:31:00

Metric,Count
Objects in BASE (Original),307
Objects in FINAL (Merged),368
NEW (from Skeletal),61
CARRIED (from Base),99
COMMON (shared & modified),208
DEPRECATED (removed from Base),0

Class,DistName,Status
com.nokia.aiosc:A1EventInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A1EventInfo-1,COMMON
com.nokia.aiosc:A2EventInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A2EventInfo-1,COMMON
com.nokia.aiosc:A3EventInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A3EventInfo-1,COMMON
com.nokia.aiosc:A4EventInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A4EventInfo-1,COMMON
com.nokia.aiosc:A5EventInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A5EventInfo-1,COMMON
com.nokia.aiosc:A6EventInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A6EventInfo-1,COMMON
com.nokia.aiosc:AGPSServerConfig,Device-1/FAP-1/GPS-1/AGPSServerConfig-1,COMMON
com.nokia.aiosc:AbsThreshCsiRsConsolidation,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/AbsThreshCsiRsConsolidation-1,COMMON
com.nokia.aiosc:AbsThreshSsBlocksConsolSib2,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionInfoCommon-1/AbsThreshSsBlocksConsolSib2-1,COMMON
com.nokia.aiosc:AbsThreshSsBlocksConsolidation,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/AbsThreshSsBlocksConsolidation-1,COMMON
com.nokia.aiosc:AnrParam,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/AnrParam-1,COMMON
com.nokia.aiosc:B1EventInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1/EventIRAT-1/B1EventInfo-1,COMMON
com.nokia.aiosc:B2EventInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1/EventIRAT-1/B2EventInfo-1,COMMON
com.nokia.aiosc:BSSID,Device-1/Services-1/X_Nokia_BSR-1/WiFiConfig-1/BSSID-1,NEW
com.nokia.aiosc:BWP,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/BWP-1,COMMON
com.nokia.aiosc:BlackListEntry,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1/BlackListEntry-1,NEW
com.nokia.aiosc:BlackListEntryEUtran,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryEUtran-1,NEW
com.nokia.aiosc:BlackListEntryIdleMode,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1/BlackListEntryIdleMode-1,NEW
com.nokia.aiosc:BlackListEntryIdleModeEUtran,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1/BlackListEntryIdleModeEUtran-1,NEW
com.nokia.aiosc:BusyHourLoggerForSU,Device-1/Services-1/X_Nokia_BSR-1/BusyHourLoggerForSU-1,COMMON
com.nokia.aiosc:CMPv2ServerList,Device-1/Services-1/X_Nokia_BSR-1/CertificateEnrollment-1/CMPv2ServerList-1,COMMON
com.nokia.aiosc:CU,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1,COMMON
com.nokia.aiosc:CarrierAggregation,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/CarrierAggregation-1,NEW
com.nokia.aiosc:CellAccessInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/L1CfgInfo-1/Sib1Params-1/CellAccessInfo-1,COMMON
com.nokia.aiosc:CellAlarm,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CellAlarm-1,COMMON
com.nokia.aiosc:CellConfig,Device-1/Services-1/FAPService-1/CellConfig-1,COMMON
com.nokia.aiosc:CellIndividualOffset,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1/CellIndividualOffset-1,COMMON
com.nokia.aiosc:CellIndividualOffset,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-7/CellIndividualOffset-1,CARRIED
com.nokia.aiosc:CellIndividualOffset,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-8/CellIndividualOffset-1,CARRIED
com.nokia.aiosc:CellIndividualOffset,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-9/CellIndividualOffset-1,CARRIED
com.nokia.aiosc:CellIndividualOffsetVS,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/CellIndividualOffsetVS-1,COMMON
com.nokia.aiosc:CellPfsCfgInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CellPfsCfgInfo-1,COMMON
com.nokia.aiosc:CellReselectionInfoCommon,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionInfoCommon-1,COMMON
com.nokia.aiosc:CellReselectionServingFreqInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionServingFreqInfo-1,COMMON
com.nokia.aiosc:CellSelectionInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/L1CfgInfo-1/Sib1Params-1/CellSelectionInfo-1,COMMON
com.nokia.aiosc:CellTrace,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/CellTrace-1,COMMON
com.nokia.aiosc:CellTraceStart,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CellTraceStart-1,COMMON
com.nokia.aiosc:CertificateEnrollment,Device-1/Services-1/X_Nokia_BSR-1/CertificateEnrollment-1,COMMON
com.nokia.aiosc:CfgCmn,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CfgCmn-1,COMMON
com.nokia.aiosc:ChannelSpacing,Device-1/Services-1/X_Nokia_BSR-1/NRCBRSPR-1/ChannelSpacing-1,NEW
com.nokia.aiosc:CipheringAlgorithm,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CipheringAlgorithm-1,COMMON
com.nokia.aiosc:CipheringAlgorithm,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CipheringAlgorithm-2,CARRIED
com.nokia.aiosc:CipheringAlgorithm,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CipheringAlgorithm-3,CARRIED
com.nokia.aiosc:CntrlResourceSetSearchSpaceCfg,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlBwpCfg-1/CntrlResourceSetSearchSpaceCfg-1,COMMON
com.nokia.aiosc:Config,Device-1/FAP-1/PerfMgmt-1/Config-1,COMMON
com.nokia.aiosc:ConfigSetForVariChBw,Device-1/Services-1/X_Nokia_BSR-1/NRCBSD-1/NRCBSDCELL-1/ConfigSetForVariChBw-1,NEW
com.nokia.aiosc:ConnEstFailureControl,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/L1CfgInfo-1/Sib1Params-1/ConnEstFailureControl-1,COMMON
com.nokia.aiosc:ContinuousGPSStatus,Device-1/FAP-1/GPS-1/ContinuousGPSStatus-1,COMMON
com.nokia.aiosc:CoreList,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/NsSysCfg-1/CoreList-1,NEW
com.nokia.aiosc:CsiImElementPattern,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CsiRsCfgInfo-1/CsiImElementPattern-1,COMMON
com.nokia.aiosc:CsiRSFilterConfig,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigCell-1/CsiRSFilterConfig-1,COMMON
com.nokia.aiosc:CsiRSFilterConfigQConfigRSI,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigRSIndex-1/CsiRSFilterConfigQConfigRSI-1,NEW
com.nokia.aiosc:CsiRsCfgInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CsiRsCfgInfo-1,COMMON
com.nokia.aiosc:CuAlarm,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/CuAlarm-1,COMMON
com.nokia.aiosc:CurrentAlarm,Device-1/FaultMgmt-1/CurrentAlarm-1,NEW
com.nokia.aiosc:CyclicShift,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/UlCfgCmn-1/UlBwpCfg-1/CyclicShift-1,COMMON
com.nokia.aiosc:DU,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1,COMMON
com.nokia.aiosc:DesiredTddFrameStructure,Device-1/Services-1/X_Nokia_BSR-1/NRCBRSPR-1/DesiredTddFrameStructure-1,NEW
com.nokia.aiosc:DeviceInfo,Device-1/DeviceInfo-1,COMMON
com.nokia.aiosc:DlBwpCfg,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlBwpCfg-1,COMMON
com.nokia.aiosc:DlCfgCmn,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1,COMMON
