[DeviceInfo-1] SerialNumber updated (direct match): 'LBNKIATNW235012345' → 'LBNKIASRC243920029'
[DeviceInfo-1] SoftwareVersion updated (direct match): 'AIO' → 'AIOSC24_01_400_35.aio.sig0'
[FAP-1] SparePara1_CP updated (direct match): 'x' → '1'
[FAP-1/GPS-1] AuthorisedLocationRadius updated (direct match): '500' → '5000'
[FAP-1/GPS-1] EnableAllowedGPSAfterTimerExpired updated (direct match): 'false' → 'true'
[FAP-1/GPS-1] EnableNonGPSLocationCheckForFailGPSInitialStartup updated (direct match): 'false' → 'true'
[FAP-1/GPS-1] EnableNonGPSLocationCheckForFailGPSSubsequentStartup updated (direct match): 'false' → 'true'
[FAP-1/GPS-1] EnableProvisionedLocationReport updated (direct match): 'false' → 'true'
[FAP-1/GPS-1] GpsFixedSuccessful updated (direct match): '0' → '1'
[FAP-1/GPS-1] ScannedLocationAccuracy updated (direct match): '100' → '60'
[FAP-1/GPS-1] SkipGpsOnSuccessfulMovementCheck updated (direct match): 'false' → 'true'
[FAP-1/GPS-1] UseGpsCheckOnRestartIfGpsNotPassed updated (direct match): 'false' → 'true'
[FAP-1/GPS-1] UserLabel updated (direct match): 'StrandMount' → 'AGPS'
[FAP-1/GPS-1/AGPSServerConfig-1] AdministrativeState updated (direct match): 'unlocked' → 'locked'
[FAP-1/GPS-1/AGPSServerConfig-1] OperationalState updated (direct match): 'disabled' → 'enabled'
[FAP-1/PerfMgmt-1/Config-1] Enable15minutePMcounterFile updated (direct match): 'false' → 'true'
[FAP-1/PerfMgmt-1/Config-1] LastReleasePMEmulationFlag updated (direct match): 'false' → 'true'
[FAP-1/PerfMgmt-1/Config-1] OUIInPMFile updated (direct match): 'false' → 'true'
[FAP-1/PerfMgmt-1/Config-1] PeriodicUploadInterval updated (direct match): 'hour1' → 'minute15'
[FAP-1/PerfMgmt-1/Config-1] SuspectFlag updated (direct match): 'false' → 'true'
[IP-1] SparePara1_CP updated (direct match): 'x' → '1'
[IP-1/Interface-1] SparePara1_CP updated (direct match): 'x' → '1'
[ManagementServer-1] URL updated (direct match): 'http://1.1.1.1' → 'http://[2a00:8a00:a000:1023::a63:71d8]:8080/'
[Services-1] SparePara1_CP updated (direct match): 'x' → '1'
[Services-1/FAPService-1/CellConfig-1] SparePara1_CP updated (direct match): 'x' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1] SparePara1_CP updated (direct match): 'x' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] CipheringAlgorithmNumberOfEntries updated (direct match): '4' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] DrxEnabled updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] EPSFallbackSupportedn updated (direct match): 'EPSFallbackHOsupported' → 'EPSFallbackRedirectionsupported'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] EUtranCellRelationNumberOfEntries updated (direct match): '0' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] EUtranFreqRelationNumberOfEntries updated (direct match): '0' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] EUtranFrequencyNumberOfEntries updated (direct match): '0' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] EutraQosCfgNumberOfEntries updated (direct match): '4' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] EventConfigListAfterA2n updated (direct match): 'A3_INTRA_A5_INTER' → 'A3_INTRA_A3_INTER'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] IntegrityProtAlgorithmNumberOfEntries updated (direct match): '4' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] NRCellRelationNumberOfEntries updated (direct match): '0' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] NRFreqRelationNumberOfEntries updated (direct match): '0' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] NRFrequencyNumberOfEntries updated (direct match): '0' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] NrQosCfgNumberOfEntries updated (direct match): '7' → '4'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] PlmnInfoListNumberOfEntries updated (direct match): '1' → '2'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] SiConfigNumberOfEntries updated (direct match): '1' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1] SrbCfgNumberOfEntries updated (direct match): '1' → '0'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CellAlarm-1] SpareParam1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CellTraceStart-1] TraceId updated (direct match): '1' → '1139'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1] DrxConfig_CP updated (direct match): 'x' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigDataSpecific-1] LongDrxCycleLengthn updated (direct match): 'ms160' → 'ms320'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigDataSpecific-1] ShortDrxCycleLengthn updated (direct match): 'ms40' → 'ms8'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigInterRatAnrSpecific-1] Enabled updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EutraQosCfg-1] ReorderingTimerMs updated (direct match): '40' → '240'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EutraQosCfg-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EutraQosCfg-1] UlDataSplitThresholdInBytesn updated (direct match): 'infinity' → 'b100'
