📘 Parameter Change Log
Generated: 2025-07-22T11:22:47

✅ New Parameters (in existing or new classes/distributions):
  [ADDED]     Class: com.nokia.aiosc:VLANTermination, Object: Device-1/Ethernet-1/VLANTermination-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:GPS, Object: Device-1/FAP-1/GPS-1, Parameter: testId, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:ContinuousGPSStatus, Object: Device-1/FAP-1/GPS-1/ContinuousGPSStatus-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:XtraServerAddress, Object: Device-1/FAP-1/GPS-1/XtraServerAddress-1, Parameter: SparePara1, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: AdditionalText, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: AlarmIdentifier, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: AlarmRaisedTime, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: EventType, Value: 'communicationsAlarm'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: FaultIDandStatus, Value: 'test'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: ManagedObjectInstance, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: PerceivedSeverity, Value: 'cleared'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: ProbableCause, Value: 'indeterminate'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: ReportingStatus, Value: 'raised'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: SecurityAlarmDetector, Value: 'x'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: SequenceNumber, Value: '1'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: ServiceProvider, Value: 'Cutomer'
  [ADDED]     Class: com.nokia.aiosc:CurrentAlarm, Object: Device-1/FaultMgmt-1/CurrentAlarm-1, Parameter: ServiceUser, Value: 'NokiaUser'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-45, Parameter: FaultIdn, Value: 'spareCBSDAlarm1'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-45, Parameter: MocIdn, Value: 'NRCbsd'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-45, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-46, Parameter: FaultIdn, Value: 'spareCBSDAlarm2'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-46, Parameter: MocIdn, Value: 'NRCbsd'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-46, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-47, Parameter: FaultIdn, Value: 'spareCBSDAlarm3'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-47, Parameter: MocIdn, Value: 'NRCbsd'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-47, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-48, Parameter: FaultIdn, Value: 'invalidCBSDBandConfiguration'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-48, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-48, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-49, Parameter: FaultIdn, Value: 'wifiEnabled'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-49, Parameter: MocIdn, Value: 'WiFi'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-49, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-50, Parameter: FaultIdn, Value: 'defaultWiFiPassword'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-50, Parameter: MocIdn, Value: 'WiFi'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-50, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-51, Parameter: FaultIdn, Value: 'ptpServiceUnavailable'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-51, Parameter: MocIdn, Value: 'Radio'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-51, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-52, Parameter: FaultIdn, Value: 'onePPSServiceUnavailable'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-52, Parameter: MocIdn, Value: 'Radio'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-52, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-53, Parameter: FaultIdn, Value: 'amfConnectionUnstable'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-53, Parameter: MocIdn, Value: 'HgNB'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-53, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-54, Parameter: FaultIdn, Value: 'allAMFConnectionUnstable'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-54, Parameter: MocIdn, Value: 'HgNB'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-54, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-55, Parameter: FaultIdn, Value: 'gtpuAllPathFailure'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-55, Parameter: MocIdn, Value: 'HgNB'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-55, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-56, Parameter: FaultIdn, Value: 'gtuPathUnstable'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-56, Parameter: MocIdn, Value: 'HgNB'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-56, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-57, Parameter: FaultIdn, Value: 'gtpuAllPathUnstable'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-57, Parameter: MocIdn, Value: 'HgNB'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-57, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-58, Parameter: FaultIdn, Value: 'wifiUserAccountLocked'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-58, Parameter: MocIdn, Value: 'WiFi'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-58, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-59, Parameter: FaultIdn, Value: 'nrDuCellSetupFailed'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-59, Parameter: MocIdn, Value: 'NRCellDU'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-59, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-60, Parameter: FaultIdn, Value: 'nrBandNotSupported'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-60, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-60, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-61, Parameter: FaultIdn, Value: 'nrOamCellOperationFailure'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-61, Parameter: MocIdn, Value: 'HgNB'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-61, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-62, Parameter: FaultIdn, Value: 'underTemperature'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-62, Parameter: MocIdn, Value: 'Radio'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-62, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-63, Parameter: FaultIdn, Value: 'tamperDetected'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-63, Parameter: MocIdn, Value: 'BSR'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-63, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-64, Parameter: FaultIdn, Value: 'tunnelConfigFailure'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-64, Parameter: MocIdn, Value: 'IKESAPair'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-64, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-65, Parameter: FaultIdn, Value: 'certificateEnrollmentFailure'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-65, Parameter: MocIdn, Value: 'CertificateEnrollment'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-65, Parameter: ReportingMechanism, Value: 'expedited'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-66, Parameter: FaultIdn, Value: 'aioscOutOfMemory'
  [ADDED]     Class: com.nokia.aiosc:SupportedAlarm, Object: Device-1/FaultMgmt-1/SupportedAlarm-66, Parameter: MocIdn, Value: 'BSR'
