Parameter Changes Between 2024 and 2025
========================================

✅ New Parameters in 2025:
[NEW] com.nokia.aiosc:VLANTermination :: Device-1/Ethernet-1/VLANTermination-1 -> SparePara1
[NEW] com.nokia.aiosc:GPS :: Device-1/FAP-1/GPS-1 -> testId
[NEW] com.nokia.aiosc:ContinuousGPSStatus :: Device-1/FAP-1/GPS-1/ContinuousGPSStatus-1 -> SparePara1
[NEW] com.nokia.aiosc:XtraServerAddress :: Device-1/FAP-1/GPS-1/XtraServerAddress-1 -> SparePara1
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> PerceivedSeverity
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> ManagedObjectInstance
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> ServiceProvider
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> SequenceNumber
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> ServiceUser
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> AlarmRaisedTime
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> ProbableCause
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> ReportingStatus
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> FaultIDandStatus
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> AdditionalText
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> SecurityAlarmDetector
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> AlarmIdentifier
[NEW] com.nokia.aiosc:CurrentAlarm :: Device-1/FaultMgmt-1/CurrentAlarm-1 -> EventType
[NEW] com.nokia.aiosc:IPv4Address :: Device-1/IP-1/Interface-1/IPv4Address-1 -> SubnetMask
[NEW] com.nokia.aiosc:IPv4Address :: Device-1/IP-1/Interface-1/IPv4Address-1 -> IPAddress
[NEW] com.nokia.aiosc:IPv4Address :: Device-1/IP-1/Interface-1/IPv4Address-1 -> SparePara1
[NEW] com.nokia.aiosc:IPv6Address :: Device-1/IP-1/Interface-1/IPv6Address-1 -> SparePara2
[NEW] com.nokia.aiosc:IPv6Address :: Device-1/IP-1/Interface-1/IPv6Address-1 -> SparePara1
[NEW] com.nokia.aiosc:ManagementServer :: Device-1/ManagementServer-1 -> SparePara1
[NEW] com.nokia.aiosc:NRCellCU :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1 -> ObjectInstance
[NEW] com.nokia.aiosc:NRCellCU :: Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1 -> ObjectClass
